city_id,date,disaster_type,city,province,cause,death,missing_person,injured_person,damaged_house,flooded_house,damaged_facility
3215,2021-03-02,BANJIR,KARAWANG,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,7.0,0
3201,2021-03-03,BANJIR,BOGOR,JAWA BARAT,• Akibat hujan dengan intensitas lebat dan di sertai angin kencang,0.0,0.0,0.0,0.0,6.0,0
3207,2021-03-03,BANJIR,CIAMIS,JAWA BARAT,• Hujan dengan intensitas tinggi,0.0,0.0,0.0,1.0,0.0,0
3204,2021-03-04,BANJIR,BANDUNG,JAWA BARAT,Hujan dengn intensitas tinggi yang mengakibatkan debit air sungai Citarik meluap,0.0,0.0,0.0,0.0,5000.0,0
3211,2021-03-04,BANJIR,SUMEDANG,JAWA BARAT,Hujan dengan intensitas tinggi dan tersumbatnya drainase,0.0,0.0,0.0,0.0,14.0,0
3213,2021-03-05,BANJIR,SUBANG,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,20.0,0
3210,2021-03-07,BANJIR,MAJALENGKA,JAWA BARAT,• Hujan dengan intensitas sedang – tinggi dan pendangkalan sungai cigarut cibinuang yang menyebabkan luapan air,0.0,0.0,0.0,0.0,50.0,0
3208,2021-03-07,BANJIR,KUNINGAN,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,2.0,0
3210,2021-03-07,BANJIR,MAJALENGKA,JAWA BARAT,• Hujan dengan intensitas sedang – tinggi dan pendangkalan sungai cigarut cibinuang yang menyebabkan luapan air,0.0,0.0,0.0,0.0,0.0,0
3211,2021-03-08,BANJIR,SUMEDANG,JAWA BARAT,• Akibat hujan dengan intensitas tinggi dan kondisi drinase yang kurang baik sehingga air meluap,0.0,0.0,0.0,0.0,1.0,0
3205,2021-03-16,BANJIR,GARUT,JAWA BARAT,• Akibat hujan dengan intensitas tinggi,0.0,0.0,0.0,0.0,6.0,0
3202,2021-03-18,BANJIR,SUKABUMI,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,2.0,0
3202,2021-03-18,BANJIR,SUKABUMI,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,1.0,0.0,0
3211,2021-03-21,BANJIR,SUMEDANG,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,4.0,0
3213,2021-03-21,BANJIR,SUBANG,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,2.0,0
3209,2021-03-23,BANJIR,CIREBON,JAWA BARAT,• Hujan dengan intensitas besar dengan durasi lama serta kiriman dr hulu sehingga menyebabkan meluapnya sungai posong dan penyempitan drainase diperparah dgn tumpukan sampah yang menyumbat aliran drainase,0.0,0.0,0.0,0.0,268.0,0
3204,2021-03-24,BANJIR,BANDUNG,JAWA BARAT,• Akibat hujan dengan intensitas tinggi,0.0,0.0,0.0,0.0,287.0,0
3211,2021-03-25,BANJIR,SUMEDANG,JAWA BARAT,• Hujan dengan intensitas tingi mengakibatkan longsor dan banjir.,1.0,0.0,1.0,0.0,0.0,0
3210,2021-03-25,BANJIR,MAJALENGKA,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,4.0,0
3204,2021-03-25,BANJIR,BANDUNG,JAWA BARAT,• Hujan dengan intensitas tinggi mengakibatkan aliran anak sungai yang mengairi Sungai Citarum meluap.,0.0,0.0,0.0,0.0,10572.0,0
3205,2021-03-25,BANJIR,GARUT,JAWA BARAT,• Hujan lebat di sertai pertir mengguyur wilayah sukawening dari pkl 15.00 WIB / 19.00 WIB,0.0,0.0,0.0,3.0,22.0,1
3205,2021-03-25,BANJIR,GARUT,JAWA BARAT,• Hujan dengan intensitas tinggi mengakibatkan sungai cimeomg meluap dan mengaliri ke sungai cipacing dan menyebabkan banjir,0.0,0.0,0.0,0.0,20.0,0
3204,2021-03-27,BANJIR,BANDUNG,JAWA BARAT,• Hujan dengan intensitas tinggi terjadi luapan air di Daerah Aliran Sungai Cisanggarung aliran Cironggeng yang kemudian menyebabkan banjir di sekitar pemukiman warga,0.0,0.0,0.0,0.0,155.0,0
3273,2021-03-27,BANJIR,KOTA BANDUNG,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,155.0,0
3278,2021-03-27,BANJIR,KOTA TASIKMALAYA,JAWA BARAT,• Hujan deras disertai angin kencang mengakibatkan luapan air yang menyebabkan sebagian dinding rumah hanyut,0.0,0.0,0.0,1.0,0.0,0
3201,2021-03-27,BANJIR,BOGOR,JAWA BARAT,hujan dengna intensitas tinggi,0.0,0.0,0.0,0.0,80.0,0
3204,2021-03-30,BANJIR,BANDUNG,JAWA BARAT,hujan dengan intensitas cukup tinggi,0.0,0.0,0.0,0.0,0.0,0
3201,2021-03-31,BANJIR,BOGOR,JAWA BARAT,• Hujan dengan intensitas tinggi dan drainase di Perum Grand Melia Residance yang kecil menyebabkan banjir,0.0,0.0,0.0,0.0,390.0,0
3215,2021-03-31,BANJIR,KARAWANG,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,68.0,0
